Gene,log2FoldChange,p_value,padj
ENSSSCG00000013320,-0.00427288031263575,0.8204715700475504,0.8204715700475504
ENSSSCG00000013321,-0.015055175016582477,0.25338424804421383,0.25338424804421383
ENSSSCG00000013322,-0.015547484717573529,0.3776146436376191,0.3776146436376191
ENSSSCG00000013324,0.2961626211127218,0.5019517360121599,0.5019517360121599
ENSSSCG00000013326,0.03503749998091208,0.15102629913986731,0.15102629913986731
ENSSSCG00000013327,0.006730778377926243,0.6506227569494908,0.6506227569494908
ENSSSCG00000013328,0.8523456766975924,0.05491973363920373,0.05491973363920373
ENSSSCG00000013329,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013330,0.043994465139480875,0.030207955443128983,0.030207955443128983
ENSSSCG00000013331,-0.017810990084323405,0.41179571357439315,0.41179571357439315
ENSSSCG00000013332,0.11100341272396728,0.24843311986940816,0.24843311986940816
ENSSSCG00000013333,0.04801810652053512,0.16457941335892565,0.16457941335892565
ENSSSCG00000013335,-0.023803729930168507,0.19555555988308893,0.19555555988308893
ENSSSCG00000013336,0.015885744076442592,0.4089065108440578,0.4089065108440578
ENSSSCG00000013337,-0.011275374261804746,0.6836386156049067,0.6836386156049067
ENSSSCG00000013338,1.0715408281271421,0.23038282420452788,0.23038282420452788
ENSSSCG00000013339,0.032565269515810895,0.1551044143462149,0.1551044143462149
ENSSSCG00000013340,0.16343074333096036,0.19601601853486172,0.19601601853486172
ENSSSCG00000013341,-0.025382242043180042,0.3655926047531697,0.3655926047531697
ENSSSCG00000013343,0.07714906057073082,7.595194408509998e-05,7.595194408509998e-05
ENSSSCG00000013344,0.025572017136974743,0.18692727749891855,0.18692727749891855
ENSSSCG00000013347,0.05914382879932909,0.0010087660739821886,0.0010087660739821886
ENSSSCG00000013349,0.06801500485290056,0.02562836624491373,0.02562836624491373
ENSSSCG00000013350,-0.39999643419301983,0.7596432931027968,0.7596432931027968
ENSSSCG00000013351,0.01594948961025191,0.24131412458648727,0.24131412458648727
ENSSSCG00000013352,-0.09445063311226388,0.35471329633363136,0.35471329633363136
ENSSSCG00000013354,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013358,0.02038590543532345,0.3094704859581151,0.3094704859581151
ENSSSCG00000013360,0.002627259529680448,0.8859066980055841,0.8859066980055841
ENSSSCG00000013361,0.020496242103225946,0.1622860432353836,0.1622860432353836
ENSSSCG00000013362,0.031046945159000222,0.029151150241719905,0.029151150241719905
ENSSSCG00000013363,-0.16358052802638828,0.7285137817072022,0.7285137817072022
ENSSSCG00000013366,0.0373407609818499,0.04575083332689441,0.04575083332689441
ENSSSCG00000013367,0.026312055999138027,0.017704649759967602,0.017704649759967602
ENSSSCG00000013369,-0.7846090141186379,0.448928728114521,0.448928728114521
ENSSSCG00000013370,-0.00040485534532312895,0.9901936909970946,0.9901936909970946
ENSSSCG00000013374,0.015293151990708539,0.4899792753052429,0.4899792753052429
ENSSSCG00000013375,-0.2606948803538963,0.5900510476935399,0.5900510476935399
ENSSSCG00000013376,0.0909247044503951,0.3626220305471606,0.3626220305471606
ENSSSCG00000013377,1.0563865879982324,0.2803722376688981,0.2803722376688981
ENSSSCG00000013378,0.027082965234158228,0.20667329384087516,0.20667329384087516
ENSSSCG00000013380,0.02472881588574877,0.1148161470519364,0.1148161470519364
ENSSSCG00000013381,-0.017787221401747492,0.4382200351240355,0.4382200351240355
ENSSSCG00000013382,-0.03347648677786071,0.06136054612532707,0.06136054612532707
ENSSSCG00000013385,-0.031541103490960766,0.27332358482105046,0.27332358482105046
ENSSSCG00000013386,0.07370483535262357,0.024745917076708222,0.024745917076708222
ENSSSCG00000013387,0.02921497952887981,0.4151829581966163,0.4151829581966163
ENSSSCG00000013388,-0.01882149440245703,0.4629955998973224,0.4629955998973224
ENSSSCG00000013389,-0.003035541519265264,0.9063342327254933,0.9063342327254933
ENSSSCG00000013390,0.3684025963264067,0.370238432211784,0.370238432211784
ENSSSCG00000013391,0.017505308392871267,0.09507270215156247,0.09507270215156247
ENSSSCG00000013392,0.014037248802366276,0.2643933281974167,0.2643933281974167
ENSSSCG00000013393,-0.03649374742568612,0.1470444671515694,0.1470444671515694
ENSSSCG00000013394,-0.10477794377653768,0.2997838501263935,0.2997838501263935
ENSSSCG00000013395,0.03164841124965019,0.04113169389361275,0.04113169389361275
ENSSSCG00000013397,0.004959124284591721,0.6894151486125859,0.6894151486125859
ENSSSCG00000013399,-0.032299512792787644,0.14284733372916092,0.14284733372916092
ENSSSCG00000013400,0.005542407046202808,0.39111465036089044,0.39111465036089044
ENSSSCG00000013401,0.0012257989584849697,0.8153980120770981,0.8153980120770981
