Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000000136	48.02396623449979	0.368868056913007	0.1108305251330328	3.6836222504025246e-5	0.0029886586515030537	TRUE
ENSSSCG00000004053	72.24996093492368	0.3682777942236951	0.12458184330704555	1.1991696622944779e-4	0.006064600705443939	TRUE
ENSSSCG00000001439	41.247380932984115	0.36727246547789844	0.12862778028216723	1.58093527804874e-4	0.006972659894928919	TRUE
ENSSSCG00000014171	77.17553878045422	0.36516962068603986	0.12928248362936948	1.8131571057742335e-4	0.0075161802209854295	TRUE
ENSSSCG00000034689	40.252194927132855	0.363248811365978	0.11592538384765803	7.454830068467946e-5	0.00469314032360148	TRUE
ENSSSCG00000038345	29.54774784727422	0.36323032518324727	0.1519575263724034	5.682587640876973e-4	0.014441577837082987	TRUE
ENSSSCG00000021956	54.9340166769569	0.3630157191447844	0.17344324432720556	0.0011122624785863439	0.022519771935650208	TRUE
ENSSSCG00000021944	30.432556031526012	0.3619579292245091	0.17020346346675527	0.0010089883305408431	0.021114994415125064	TRUE
ENSSSCG00000008944	5.973219351122161	0.3618402938956275	0.767309243763412	0.005636307094310832	0.06000986051570803	FALSE
ENSSSCG00000036963	23.75768424842714	0.3577182722717284	0.15069756517257732	6.104754987172152e-4	0.015134206317871877	TRUE
ENSSSCG00000032162	15.786459977585274	0.35736721508304614	0.21568079888731573	0.0023425154769944677	0.03493638758232591	TRUE
ENSSSCG00000022309	104.82478975812451	0.3567611507543373	0.12841160390717035	2.099625478914176e-4	0.008237208317789162	TRUE
ENSSSCG00000040486	43.28349957685545	0.35579731135188775	0.13120345512530726	2.4758318467639956e-4	0.00895335015765804	TRUE
ENSSSCG00000017561	19.959521483347363	0.3554925188681336	0.21029598516748857	0.002253474471445139	0.034137180913219496	TRUE
ENSSSCG00000033721	22.31354781759439	0.3547853051966661	0.3428408977606146	0.004663788206583267	0.054337677305403946	FALSE
ENSSSCG00000034980	155.7174666958283	0.3547506139292046	0.11205191927538344	6.3733464422601e-5	0.004259635731666102	TRUE
ENSSSCG00000004687	4563.591442388646	0.3544803647132908	0.1746823422774214	0.001641000112554082	0.027765944123321704	TRUE
ENSSSCG00000013553	47.5715883781494	0.35019125641356075	0.13174743971596437	2.896510057755874e-4	0.009987693317334574	TRUE
ENSSSCG00000033512	539.4372771660484	0.34903175508034107	0.14490796252805685	5.13247980782914e-4	0.013495664409771874	TRUE
ENSSSCG00000005240	85.50848299408462	0.3477331009831352	0.10497111431130032	3.8688794120801045e-5	0.003105748065612664	TRUE
ENSSSCG00000009412	155.22814410381113	0.34585276239816065	0.11526334862807147	1.089680657175899e-4	0.005718990255600256	TRUE
ENSSSCG00000037815	16.74275756335389	0.34475529938296406	0.1724248650388773	0.0013632696656029116	0.025010311204990778	TRUE
ENSSSCG00000023684	70.4928523149299	0.34469812478044565	0.2001514370347988	0.0022157760872895883	0.033854737962092284	TRUE
ENSSSCG00000017008	76.35294336244765	0.342813670508315	0.12480623548949694	2.289117620268938e-4	0.00865380423197761	TRUE
ENSSSCG00000014274	153.8280358218508	0.34253041932612754	0.10343254454385406	3.9546123775171594e-5	0.003124967655817205	TRUE
ENSSSCG00000002857	17.28224138639799	0.33985061829124785	0.1893407693561443	0.0020463859387149738	0.031975043730364146	TRUE
ENSSSCG00000011700	204.17126129050158	0.3388763088350049	0.12881279460554598	3.229037058046395e-4	0.010696714027222685	TRUE
ENSSSCG00000026818	28.551658900917868	0.3381242936162578	0.1467694889342206	7.380998211478549e-4	0.017043076244712903	TRUE
ENSSSCG00000012546	87.85840959257015	0.33750575870157096	0.1348218138156967	4.467576866058208e-4	0.012598898924132925	TRUE
ENSSSCG00000001229	4910.459557621657	0.3374363239423382	0.20514848927010002	0.0031877727479562934	0.04238815787203583	TRUE
ENSSSCG00000015955	338.48049828380687	0.3370690162681914	0.09036163577862047	8.921107450126772e-6	0.0012378911724753507	TRUE
ENSSSCG00000031184	56.23717077111538	0.3370197535729672	0.1100430673755688	9.005092446353501e-5	0.005175199340760429	TRUE
ENSSSCG00000038598	26.47777920302479	0.33635551945583586	0.15461139488563	9.571390443810346e-4	0.020395665142344182	TRUE
ENSSSCG00000004492	493.7930486613983	0.33552262777993486	0.1438786660744948	6.777864500709406e-4	0.01611814423272149	TRUE
ENSSSCG00000004771	19.874646091982136	0.3349335124714738	0.14007247620804444	6.036130714685014e-4	0.015013143475934595	TRUE
ENSSSCG00000032395	5485.360838601815	0.3342654383640888	0.29621919752105846	0.00556809722073891	0.05978709910336216	FALSE
ENSSSCG00000033041	375.11124355676526	0.3332527320006183	0.0977719573606215	2.9156576590981286e-5	0.0025718812792928374	TRUE
ENSSSCG00000007093	160.1232550158847	0.3318647464059635	0.12336848363414774	2.798496025213818e-4	0.009738252682234874	TRUE
ENSSSCG00000007797	130.42788257508073	0.33104742583914115	0.09756652254546726	3.0448135957165015e-5	0.0025952759479893686	TRUE
